disciplina;professor;curso;inicio;fim;sala
Introdução a ESA;Luísa Magalhães;Engenharia Sanitária e Ambiental;19:20;20:10;Sala 5
Introdução a ESA;Luísa Magalhães;Engenharia Sanitária e Ambiental;20:10;21:00;Sala 5
Leitura e Produção de Texto;Elaine Garrido;Engenharia Sanitária e Ambiental;21:00;21:50;Sala 5
Física I;Edelima Mendonça;Engenharia Sanitária e Ambiental;18:30;19:20;Sala 03
Física I;Edelima Mendonça;Engenharia Sanitária e Ambiental;19:20;20:10;Sala 03
Física I;Edelima Mendonça;Engenharia Sanitária e Ambiental;20:10;21:00;Sala 03
Física I;Edelima Mendonça;Engenharia Sanitária e Ambiental;21:00;21:50;Sala 03
Física I;Edelima Mendonça;Engenharia Sanitária e Ambiental;21:50;22:40;Sala 03
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;18:30;19:20;LAB II - BIO
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;19:20;20:10;LAB II - BIO
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;20:10;21:00;LAB II - BIO
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;21:00;21:50;LAB II - BIO
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;18:30;19:20;LAB II - BIO
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;19:20;20:10;LAB II - BIO
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;20:10;21:00;LAB II - BIO
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;21:00;21:50;LAB II - BIO
Geologia e Solos;Alarcon Oliveira;Engenharia Sanitária e Ambiental;21:50;22:40;LAB II - BIO
Biotecnologia;Luis Figueroa;Engenharia Sanitária e Ambiental;18:30;19:20;SALA 11
Biotecnologia;Luis Figueroa;Engenharia Sanitária e Ambiental;19:20;20:10;SALA 11
Biotecnologia;Luis Figueroa;Engenharia Sanitária e Ambiental;20:10;21:00;SALA 11
Biotecnologia;Luis Figueroa;Engenharia Sanitária e Ambiental;21:00;21:50;SALA 11
Biotecnologia;Luis Figueroa;Engenharia Sanitária e Ambiental;21:50;22:40;SALA 11
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;13:00;14:20;SALA 9
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;14:20;15:10;SALA 9
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;15:10;16:00;SALA 9
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;16:00;16:50;SALA 9
Introdução a Biossistemas;Yusdel Diaz/ Emanuel Brasilino/ Marcos Vanderlei;PPGMSB;16:50;17:00;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;13:00;14:20;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;14:20;15:10;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;15:10;16:00;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;16:00;16:50;SALA 9
Métodos Computacionais Aplicados;Alexandre Nascimento/ José Gileá de Souza / Larissa Bastos;PPGMSB;16:50;17:00;SALA 9
